IF,IG,IH,IM,PROTES,CATHOL,SINGLE24,SINGLE49,MAGRIC,MIND,MCOMM,MTRANSP,MADMIN,TAGRIC,TIND,TCOMM,TTRANSP,TADMIN,INFMORT,WAGRIC,WIND,WCOMM,WTRANSP,WADMIN,WOLABFOR,GERMAN,FRENCH,ITALIAN,ROMANS,PROPTOT,GRADE1,GRADE5,USCHOOL,LOWALT,ALT500,ALT1000,DECLIM01,DECLIM05,DECLIM00,DECLIG10,DECLIG6,SEXRATIO,BORNCOM,BORNFOR,LABEL,key,Canton,District1,District2,
375,705,22,516,92370,7280,71900,11900,261,646,45,22,20,182,720,57,16,20,233,41,400,472,52,331,220,99640,40,240,50,98800,12000,10000,10000,0,100000,0,1877800,1910500,1926300,1901300,1905100,959,572,27,L315,1503,App,Ar,Vorderland,
375,707,15,521,5220,94760,64400,18300,550,329,62,24,23,319,588,51,14,21,270,23,684,313,0,364,157,99700,60,220,20,101900,6000,32000,8000,0,100000,0,1875800,1906800,1930000,1922200,1936000,960,734,23,L16,1601,App,Ir,Innerrhoden,
300,717,6,413,2660,97300,80700,16600,596,284,39,49,26,456,427,48,37,25,164,85,535,426,67,284,364,99650,0,80,260,99700,9000,21000,7000,76000,24000,0,1875300,1903800,1914400,1918200,1940000,953,792,12,L117,1701,St,Gall,Gaster,
327,691,13,463,23820,75650,78500,11700,318,538,56,58,21,239,623,67,41,20,253,63,392,414,3,261,351,99120,130,620,120,95800,14000,8000,14000,0,100000,0,1877000,1908100,1926800,1896600,1907800,984,396,64,L217,1702,St,Gall,Gossau,
317,695,15,445,32050,67920,80400,18600,513,398,38,23,24,386,517,52,16,26,240,91,475,490,38,367,308,99490,100,310,80,103000,11000,19000,12000,95000,5000,0,1877700,1908400,1926400,1925000,1907000,917,748,38,L317,1703,St,Gall,"Rheinthal,Ob",
339,738,16,447,55290,44550,84900,12300,449,452,29,38,31,355,539,46,27,29,235,101,405,564,16,250,478,99590,120,170,100,100900,19000,8000,17000,100000,0,0,1879900,1914900,1925700,1892200,1914400,958,680,52,L417,1704,St,Gall,"Rheinthal,Un",
309,679,26,433,23500,76120,80000,21000,302,472,75,105,35,243,527,106,76,36,203,104,355,489,14,303,346,97990,390,1210,130,97400,18000,8000,17000,61000,39000,0,1874900,1911500,1926000,1902200,1906900,980,394,151,L517,1705,St,Gall,Rorschach,
225,538,46,364,56630,41550,83900,22900,19,558,249,87,66,12,604,244,57,61,228,14,409,348,25,311,346,97410,760,980,310,97100,46000,3000,59000,0,100000,0,1876000,1905200,1921400,1890100,1860000,810,304,209,L617,1706,St,Gall,St,Gallen
279,642,10,427,9050,90820,78600,23900,519,369,29,46,33,429,455,46,34,32,177,122,411,541,29,236,455,97600,150,1580,650,99700,10000,22000,15000,33000,67000,0,1880000,1917800,1920500,1885200,1922900,978,741,35,L717,1707,St,Gall,Sargans,
277,630,6,435,13020,86600,78600,19400,448,387,53,67,29,347,488,74,47,28,197,124,461,511,24,299,340,99140,220,460,120,98300,19000,16000,23000,74000,26000,0,1875700,1907000,1922500,1913700,1909400,908,568,35,L817,1708,St,Gall,Seebezirk,
